x,y,B02,B03,B04,B05,B06,B07,B08,B09,B11,B12,Label
37,74,615,1007,976,1115,2529,2977,3283,2540,1949,1167,jalan
38,75,719,991,1114,1251,2365,2671,2916,2540,2167,1271,jalan
39,76,672,989,1062,1279,2641,2851,2812,2540,2034,1345,jalan
40,77,540,844,850,1360,2325,2714,2756,2540,2136,1425,jalan
41,78,728,985,1060,1260,2347,2628,2644,2510,2044,1269,jalan
42,80,576,860,869,1129,2224,2825,2819,2688,1881,1222,jalan
44,80,602,894,915,1257,2441,2942,3003,2688,2085,1285,jalan
46,80,592,949,971,1370,2605,2827,3009,2688,2236,1418,jalan
48,80,709,1016,1072,1383,2518,2972,2850,2876,2414,1508,jalan
49,81,527,816,814,1383,2518,2972,2834,2876,2414,1508,jalan
51,81,480,759,777,1248,2384,2876,3123,2876,2304,1336,jalan
52,81,427,713,640,1140,2419,2915,3085,2876,2080,1185,jalan
99,84,852,1068,1274,1340,2123,2269,2456,3259,2088,1588,jalan
101,84,767,1068,1116,1283,2030,2379,2337,3259,2067,1496,jalan
103,84,317,517,506,1110,1803,2111,2218,3035,1939,1279,jalan
97,85,508,792,760,1244,2018,2345,2499,3259,1995,1420,jalan
96,86,466,756,675,1572,2406,2581,2542,3259,2104,1530,jalan
95,88,1156,1582,1950,1368,2092,2309,2747,3291,1936,1409,jalan
93,89,594,861,955,1135,2235,2672,2213,3291,1773,1115,jalan
92,91,651,930,893,1441,2206,2411,2394,3231,1996,1326,jalan
91,92,1021,1322,1518,1516,2338,2461,2383,3231,2182,1555,jalan
93,93,630,930,1190,1557,2193,2380,2331,3231,2164,1555,jalan
94,94,659,1006,1218,1461,2185,2383,2395,3231,2302,1608,jalan
95,95,621,941,1176,1461,2185,2383,2503,3231,2302,1608,jalan
96,96,609,974,1088,1538,2394,2709,2740,2649,2333,1606,jalan
97,97,846,1222,1338,1538,2394,2709,2572,2649,2333,1606,jalan
101,98,799,1178,1330,1520,2158,2365,2134,2649,2117,1470,jalan
99,99,670,1058,1200,1406,2041,2205,2351,2649,2159,1480,jalan
102,99,593,841,1100,1472,1863,1874,1735,2840,1836,1396,jalan
110,99,767,946,1098,1334,1901,1935,1598,2532,1548,1150,jalan
113,99,836,1032,1168,1134,1735,1961,1694,2532,1523,1196,jalan
104,100,730,981,1166,1455,1795,1922,1707,2840,1927,1466,jalan
109,100,832,1036,1102,1329,1432,1603,1438,2532,1605,1286,jalan
112,100,890,1172,1218,1290,1546,1395,1775,2532,1447,1255,jalan
105,101,682,1012,1180,1455,1795,1922,1862,2840,1927,1466,jalan
111,101,912,1168,1332,1340,1403,1471,1686,2532,1514,1194,jalan
108,102,861,1094,1328,1460,1861,2028,1854,2391,1858,1472,jalan
115,102,624,775,851,1165,1418,1409,1250,2475,1377,1142,jalan
107,103,596,932,977,1544,1984,2073,2074,2604,2177,1609,jalan
108,103,730,1014,1166,1460,1861,2028,1925,2391,1858,1472,jalan
111,103,564,681,821,1397,1596,1785,1447,2391,1642,1323,jalan
114,103,582,753,772,1165,1418,1409,1161,2475,1377,1142,jalan
117,103,828,986,1052,1210,1335,1527,1397,2475,1418,1155,jalan
110,104,667,1000,1050,1296,2036,2175,1861,2391,1957,1391,jalan
112,104,842,1120,1136,1384,1737,1893,1807,2391,1708,1335,jalan
116,104,769,956,1126,1268,1468,1463,1389,2475,1454,1291,jalan
119,104,625,998,899,1255,1613,1811,2584,2475,1629,1206,jalan
112,105,852,1104,1288,1384,1737,1893,1961,2391,1708,1335,jalan
115,105,794,946,1148,1404,1634,1527,1539,2475,1576,1301,jalan
119,105,384,734,542,1255,1613,1811,2780,2475,1629,1206,jalan
113,106,962,1338,1446,1395,1952,2033,2116,2391,1889,1410,jalan
118,106,418,728,707,1293,1985,2342,2531,2475,1879,1293,jalan
115,107,843,1076,1342,1445,1656,1875,2032,2475,1762,1422,jalan
117,107,841,1204,1204,1485,1719,1799,2306,2475,1759,1443,jalan
116,108,860,1200,1244,1384,1710,1769,2014,2526,1723,1385,jalan
80,109,822,1146,1378,1687,1983,2089,2101,2454,2290,1865,jalan
117,109,756,1028,1216,1384,1710,1769,2103,2526,1723,1385,jalan
79,110,1002,1306,1676,1411,2148,2396,2359,2454,2217,1571,jalan
80,110,944,1188,1474,1599,1975,2142,2082,2454,2378,1857,jalan
84,110,1078,1430,1586,1699,2182,2314,2347,2176,2514,1929,jalan
85,110,1176,1544,1598,1699,2182,2314,2482,2176,2514,1929,jalan
86,110,1068,1356,1494,1769,2290,2454,2612,2176,2585,1998,jalan
118,110,655,913,1074,1291,1611,1898,1816,2526,1746,1210,jalan
79,111,766,1074,1268,1411,2148,2396,2320,2454,2217,1571,jalan
81,111,927,1190,1360,1599,1975,2142,2170,2454,2378,1857,jalan
87,111,860,1146,1272,1769,2290,2454,2480,2176,2585,1998,jalan
119,111,753,1086,1082,1291,1611,1898,2132,2526,1746,1210,jalan
81,112,574,889,851,1486,2026,2270,2490,2454,2341,1673,jalan
83,112,678,962,1172,1489,2232,2491,2609,2454,2463,1805,jalan
87,112,1086,1360,1582,1881,2179,2240,2394,2176,2550,2029,jalan
87,113,1130,1460,1544,1881,2179,2240,2337,2176,2550,2029,jalan
87,114,930,1262,1372,1878,2138,2177,2264,2449,2417,1943,jalan
88,114,378,576,621,1146,2080,2418,2413,2449,2148,1442,jalan
87,115,658,961,1064,1878,2138,2177,2304,2449,2417,1943,jalan
85,116,1180,1510,1748,1768,2172,2294,2489,2449,2437,1881,jalan
86,116,819,1146,1404,1698,2224,2395,2452,2449,2451,1832,jalan
85,117,883,1220,1444,1768,2172,2294,2447,2449,2437,1881,jalan
86,117,573,864,997,1698,2224,2395,2627,2449,2451,1832,jalan
84,118,879,1220,1432,1854,2264,2419,2358,2449,2550,2075,jalan
83,119,1196,1560,1804,1825,2238,2473,2495,2834,2599,2008,jalan
83,120,1234,1544,1882,1972,2377,2428,2540,3134,2573,2082,jalan
85,121,1094,1328,1688,1894,2180,2216,2071,2601,2454,2028,jalan
86,121,920,1230,1476,1822,2077,2199,2064,2601,2454,1978,jalan
87,121,738,1110,1178,1822,2077,2199,2285,2601,2454,1978,jalan
88,121,819,1146,1240,1734,2207,2403,2500,2601,2359,1869,jalan
89,121,931,1176,1426,1734,2207,2403,2387,2601,2359,1869,jalan
90,132,1038,1312,1512,1657,2007,2177,2177,2315,2141,1674,jalan
91,133,1158,1366,1708,1657,2007,2177,2241,2315,2141,1674,jalan
92,134,1162,1428,1632,1783,2025,2102,2125,2315,2109,1786,jalan
93,135,1116,1344,1582,1783,2025,2102,2025,2315,2109,1786,jalan
94,136,1114,1354,1594,1667,1902,2034,2109,2315,2379,1941,jalan
95,137,954,1242,1500,1667,1902,2034,2300,2315,2379,1941,jalan
340,190,601,991,1390,1641,2626,2751,2834,3049,2437,1556,jalan
341,190,510,929,1230,1641,2626,2751,2852,3049,2437,1556,jalan
342,190,499,844,1118,1541,2483,2828,2778,3370,2443,1507,jalan
345,190,599,999,1504,1626,2417,2673,2646,3370,2454,1514,jalan
346,190,521,839,1310,1648,2296,2460,2306,3370,2281,1418,jalan
340,191,459,832,1142,1641,2626,2751,2844,3049,2437,1556,jalan
345,191,505,861,1410,1626,2417,2673,2454,3370,2454,1514,jalan
346,191,555,926,1506,1648,2296,2460,2454,3370,2281,1418,jalan
337,192,509,792,1220,1625,2096,2262,2452,2291,2111,1411,jalan
339,192,375,663,779,1503,2299,2671,2974,2291,2224,1330,jalan
348,192,534,870,1272,1481,2259,2427,2284,2906,2115,1306,jalan
349,192,577,867,1230,1481,2259,2427,2439,2906,2115,1306,jalan
350,192,566,863,1082,1505,2398,2824,2920,2906,2276,1407,jalan
351,192,578,856,1009,1505,2398,2824,3101,2906,2276,1407,jalan
335,193,555,891,1564,1562,1880,1974,2264,2558,2060,1463,jalan
336,193,480,810,1300,1625,2096,2262,2321,2291,2111,1411,jalan
338,193,348,669,620,1503,2299,2671,2819,2291,2224,1330,jalan
351,193,670,1058,1310,1505,2398,2824,3010,2906,2276,1407,jalan
330,194,501,840,1382,1643,2128,2273,2068,2558,2164,1445,jalan
334,194,552,920,1538,1752,2223,2419,2372,2558,2150,1397,jalan
337,194,349,651,633,1461,2289,2482,2690,2291,2146,1337,jalan
352,194,582,930,1086,1372,2564,2874,3033,2906,2245,1300,jalan
353,194,766,1102,1484,1372,2564,2874,3116,2906,2245,1300,jalan
354,194,626,1003,1356,1552,2560,2895,2880,3269,2331,1368,jalan
326,195,867,1206,1626,1569,2259,2639,2698,2791,2055,1308,jalan
328,195,847,1268,1896,1884,2369,2456,2612,2791,2235,1551,jalan
330,195,488,867,1368,1643,2128,2273,2481,2558,2164,1445,jalan
331,195,484,867,1434,1643,2128,2273,2442,2558,2164,1445,jalan
332,195,522,880,1516,1591,2162,2266,2477,2558,2060,1406,jalan
333,195,540,873,1482,1591,2162,2266,2320,2558,2060,1406,jalan
334,195,482,823,1304,1752,2223,2419,2304,2558,2150,1397,jalan
355,195,656,1086,1534,1552,2560,2895,3098,3269,2331,1368,jalan
356,195,637,1010,1484,1559,2562,2852,2936,3269,2371,1385,jalan
357,195,641,959,1334,1559,2562,2852,2941,3269,2371,1385,jalan
323,196,653,999,1416,1465,2246,2401,2236,3089,2135,1389,jalan
325,196,607,994,1246,1523,2102,2114,2583,2791,2006,1341,jalan
326,196,747,1182,1564,1553,2251,2478,2787,2791,2092,1320,jalan
327,196,838,1290,1712,1553,2251,2478,2775,2791,2092,1320,jalan
331,196,366,638,693,1510,2377,2739,2809,2558,2170,1318,jalan
332,196,360,672,706,1217,2475,2777,2878,2558,2042,1176,jalan
333,196,398,738,905,1217,2475,2777,2688,2558,2042,1176,jalan
355,196,466,811,908,1103,2556,2925,3310,3269,2093,1138,jalan
357,196,551,984,1122,1376,2819,3138,3146,3269,2279,1273,jalan
358,196,557,959,1044,1497,2713,3059,3132,3269,2441,1373,jalan
359,196,599,896,1009,1497,2713,3059,3116,3269,2441,1373,jalan
360,196,753,1102,1150,1451,2627,3009,3364,3359,2428,1445,jalan
361,196,848,1136,1278,1451,2627,3009,3096,3359,2428,1445,jalan
327,197,593,960,1236,1553,2251,2478,2463,2791,2092,1320,jalan
328,197,604,956,1228,1780,2486,2560,2384,2791,2240,1482,jalan
362,197,858,1460,1516,1438,2414,2907,3110,3359,2342,1384,jalan
361,198,416,657,622,1446,2791,2925,3077,3260,2451,1384,jalan
363,198,558,873,942,1589,2758,3177,2141,3260,2432,1402,jalan
364,198,296,469,462,1399,2177,2490,1541,3260,2077,1219,jalan
363,199,0,0,0,1589,2758,3177,0,3260,2432,1402,jalan
16,6,2792,3018,3244,3044,3243,3092,3275,0,4745,5995,gedung
17,6,2510,2756,2814,3044,3243,3092,2798,0,4745,5995,gedung
18,6,2850,3002,3364,3588,3321,3483,3177,3386,5999,6196,gedung
19,6,4280,4572,4664,3588,3321,3483,4708,3386,5999,6196,gedung
20,6,3948,4164,4376,4523,4683,4093,4575,3386,6694,7830,gedung
21,6,2172,2464,2454,4523,4683,4093,2757,3386,6694,7830,gedung
17,7,2626,2806,2916,3044,3243,3092,2930,0,4745,5995,gedung
18,7,3116,3208,3458,3588,3321,3483,3474,3386,5999,6196,gedung
19,7,4296,4640,4820,3588,3321,3483,4832,3386,5999,6196,gedung
20,7,3918,4228,4296,4523,4683,4093,4540,3386,6694,7830,gedung
21,7,2060,2404,2542,4523,4683,4093,2741,3386,6694,7830,gedung
16,8,2906,3134,3300,3024,3309,3590,3417,0,5414,6572,gedung
17,8,2604,2822,2908,3024,3309,3590,2964,0,5414,6572,gedung
18,8,3172,3374,3470,4003,3726,3389,3508,3386,6477,6607,gedung
19,8,4320,4648,4948,4003,3726,3389,4871,3386,6477,6607,gedung
20,8,3736,4090,4132,4326,4477,4446,4391,3386,6634,8206,gedung
21,8,1946,2200,2482,4326,4477,4446,2686,3386,6634,8206,gedung
16,9,2938,3198,3284,3024,3309,3590,3479,0,5414,6572,gedung
18,9,3216,3464,3564,4003,3726,3389,3530,3386,6477,6607,gedung
19,9,4356,4664,5048,4003,3726,3389,4999,3386,6477,6607,gedung
20,9,3454,3828,3996,4326,4477,4446,4220,3386,6634,8206,gedung
21,9,1826,2042,2316,4326,4477,4446,2603,3386,6634,8206,gedung
16,10,3006,3340,3498,3321,3258,3864,3596,0,5915,6219,gedung
18,10,3252,3518,3794,4256,4185,3405,3593,3386,6447,7216,gedung
19,10,4520,4832,5192,4256,4185,3405,5192,3386,6447,7216,gedung
20,10,3334,3704,4040,4013,4058,4625,4152,3386,6536,7646,gedung
21,10,1752,2008,2124,4013,4058,4625,2459,3386,6536,7646,gedung
16,11,3064,3338,3530,3321,3258,3864,3664,0,5915,6219,gedung
17,11,2706,2912,2940,3321,3258,3864,3004,0,5915,6219,gedung
19,11,4516,4876,5152,4256,4185,3405,5139,3386,6447,7216,gedung
20,11,3164,3466,3670,4013,4058,4625,3948,3386,6536,7646,gedung
21,11,1496,1722,1660,4013,4058,4625,2194,3386,6536,7646,gedung
16,12,3034,3350,3432,3568,3331,3281,3481,0,5898,5828,gedung
17,12,2724,2940,3082,3568,3331,3281,3045,0,5898,5828,gedung
19,12,4508,4828,5084,4066,4266,3908,5135,3511,6230,7599,gedung
16,13,2998,3264,3436,3568,3331,3281,3385,0,5898,5828,gedung
17,13,2790,2910,3188,3568,3331,3281,3044,0,5898,5828,gedung
16,14,3030,3282,3492,3691,3581,3048,3465,0,5543,6065,gedung
17,14,2762,2916,3066,3691,3581,3048,3050,0,5543,6065,gedung
18,14,3802,4104,4272,3779,3891,4231,4229,3511,6206,7377,gedung
16,15,2994,3164,3366,3691,3581,3048,3332,0,5543,6065,gedung
17,15,2854,3024,3090,3691,3581,3048,3139,0,5543,6065,gedung
18,15,3802,4086,4288,3779,3891,4231,4255,3511,6206,7377,gedung
16,16,3104,3232,3226,3396,3531,3201,3331,0,5133,6156,gedung
17,16,2912,3068,3108,3396,3531,3201,3139,0,5133,6156,gedung
18,16,3818,4086,4460,3932,3718,4235,4351,3511,6423,6941,gedung
16,17,3062,3286,3190,3396,3531,3201,3328,0,5133,6156,gedung
17,17,2798,3000,3110,3396,3531,3201,3081,0,5133,6156,gedung
18,17,3964,4212,4552,3932,3718,4235,4451,3511,6423,6941,gedung
19,17,3942,4300,4624,3932,3718,4235,4665,3511,6423,6941,gedung
16,18,2900,3164,3094,2942,3150,3336,3174,2899,4727,5687,gedung
17,18,2700,2910,3160,2942,3150,3336,3076,2899,4727,5687,gedung
18,18,3864,4132,4508,4356,3914,3951,4486,2964,6562,6749,gedung
19,18,3688,4014,4360,4356,3914,3951,4452,2964,6562,6749,gedung
21,18,397,604,727,3312,3674,3286,2097,2964,4902,5947,gedung
17,19,2814,2986,3234,2942,3150,3336,3140,2899,4727,5687,gedung
18,19,3964,4248,4532,4356,3914,3951,4529,2964,6562,6749,gedung
19,19,3680,3992,4108,4356,3914,3951,4483,2964,6562,6749,gedung
21,19,331,509,620,3312,3674,3286,2051,2964,4902,5947,gedung
16,20,2634,2818,2950,2594,2757,3246,2943,2899,4331,4569,gedung
17,20,2896,3042,3266,2594,2757,3246,3248,2899,4331,4569,gedung
18,20,4042,4312,4560,4472,4300,3603,4581,2964,6230,6986,gedung
19,20,3544,3950,3814,4472,4300,3603,4383,2964,6230,6986,gedung
21,20,329,466,461,2562,3154,3321,1933,2964,4520,5251,gedung
22,20,364,546,393,684,1529,1852,2142,2964,1943,976,gedung
16,21,2600,2774,2902,2594,2757,3246,2889,2899,4331,4569,gedung
17,21,2942,3122,3328,2594,2757,3246,3359,2899,4331,4569,gedung
18,21,4078,4432,4644,4472,4300,3603,4642,2964,6230,6986,gedung
19,21,3354,3796,3522,4472,4300,3603,4155,2964,6230,6986,gedung
21,21,358,542,382,2562,3154,3321,1875,2964,4520,5251,gedung
22,21,313,510,348,684,1529,1852,2031,2964,1943,976,gedung
16,22,2342,2556,2532,2479,2451,2667,2612,2899,3928,3882,gedung
17,22,2792,2934,3030,2479,2451,2667,3074,2899,3928,3882,gedung
18,22,3696,3990,4332,3478,3447,3022,4229,2964,4723,5827,gedung
19,22,2774,3210,3282,3478,3447,3022,3544,2964,4723,5827,gedung
22,22,449,628,548,1010,1632,1806,1865,2964,1843,1377,gedung
23,22,689,940,1003,1010,1632,1806,2270,2964,1843,1377,gedung
16,23,1692,2026,2050,2479,2451,2667,2077,2899,3928,3882,gedung
17,23,1794,2148,2332,2479,2451,2667,2225,2899,3928,3882,gedung
18,23,2420,2830,2964,3478,3447,3022,3044,2964,4723,5827,gedung
19,23,1826,2168,2314,3478,3447,3022,2581,2964,4723,5827,gedung
22,23,623,811,1024,1010,1632,1806,1835,2964,1843,1377,gedung
23,23,1118,1378,1700,1010,1632,1806,2168,2964,1843,1377,gedung
16,24,1536,1802,1886,2406,2416,2234,1929,2478,3621,3734,gedung
17,24,1604,1858,2134,2406,2416,2234,2089,2478,3621,3734,gedung
18,24,1868,2286,2548,2105,2331,2269,2598,2069,3351,3937,gedung
19,24,1326,1646,1802,2105,2331,2269,2100,2069,3351,3937,gedung
22,24,576,750,946,1000,1622,1707,1659,2069,1878,1712,gedung
23,24,1338,1506,1826,1000,1622,1707,2116,2069,1878,1712,gedung
24,24,1252,1540,1450,1634,1685,1717,1796,1799,2368,2091,gedung
16,25,1508,1738,1814,2406,2416,2234,1863,2478,3621,3734,gedung
17,25,1690,1952,2072,2406,2416,2234,2147,2478,3621,3734,gedung
18,25,1970,2290,2498,2105,2331,2269,2586,2069,3351,3937,gedung
19,25,1296,1562,1594,2105,2331,2269,2061,2069,3351,3937,gedung
23,25,1236,1438,1564,1000,1622,1707,2012,2069,1878,1712,gedung
24,25,1013,1278,1382,1634,1685,1717,1581,1799,2368,2091,gedung
23,26,1094,1300,1414,1272,1625,1725,1809,2069,2081,2075,gedung
24,26,879,1074,1278,1443,1744,1684,1462,1799,2176,2007,gedung
25,26,675,818,988,1443,1744,1684,1300,1799,2176,2007,gedung
23,27,985,1230,1228,1272,1625,1725,1959,2069,2081,2075,gedung
24,27,684,897,958,1443,1744,1684,1818,1799,2176,2007,gedung
25,27,527,726,799,1443,1744,1684,1549,1799,2176,2007,gedung
24,28,533,779,703,1335,1636,1793,1836,1799,2160,1985,gedung
25,28,580,800,938,1335,1636,1793,1567,1799,2160,1985,gedung
26,28,619,770,970,1126,1306,1450,1471,1799,1733,1702,gedung
24,29,932,1140,1036,1335,1636,1793,1633,1799,2160,1985,gedung
25,29,779,989,1146,1335,1636,1793,1377,1799,2160,1985,gedung
26,29,580,794,976,1126,1306,1450,1305,1799,1733,1702,gedung
24,30,918,1154,1084,1452,1683,1669,1418,1862,2140,2320,gedung
25,30,643,809,1001,1452,1683,1669,1078,1862,2140,2320,gedung
26,30,606,718,821,1085,1179,1226,1027,1862,1970,1871,gedung
27,30,522,689,1021,1085,1179,1226,1473,1862,1970,1871,gedung
25,31,708,824,1023,1452,1683,1669,1204,1862,2140,2320,gedung
26,31,678,863,971,1085,1179,1226,1173,1862,1970,1871,gedung
27,31,516,720,1042,1085,1179,1226,1295,1862,1970,1871,gedung
25,32,1042,1206,1282,1343,1591,1875,1557,1862,2036,2193,gedung
26,32,1344,1412,1480,1399,1455,1468,1801,1862,2230,2151,gedung
27,32,800,980,1282,1399,1455,1468,1522,1862,2230,2151,gedung
28,32,522,831,1234,1380,1552,1567,1587,1862,2361,2319,gedung
26,33,997,1280,1400,1399,1455,1468,1621,1862,2230,2151,gedung
27,33,888,1124,1176,1399,1455,1468,1537,1862,2230,2151,gedung
28,33,460,672,1154,1380,1552,1567,1388,1862,2361,2319,gedung
26,34,687,910,1210,1476,1696,1660,1724,1862,2141,2048,gedung
27,34,697,955,1230,1476,1696,1660,1637,1862,2141,2048,gedung
28,34,501,711,1042,1396,1586,1693,1461,1862,2323,2287,gedung
29,34,507,769,1114,1396,1586,1693,1639,1862,2323,2287,gedung
26,35,621,825,1428,1476,1696,1660,2046,1862,2141,2048,gedung
27,35,599,851,1344,1476,1696,1660,1808,1862,2141,2048,gedung
28,35,563,796,1066,1396,1586,1693,1526,1862,2323,2287,gedung
29,35,546,758,1162,1396,1586,1693,1632,1862,2323,2287,gedung
27,36,582,847,1236,1300,1776,1914,1723,1873,1951,1878,gedung
28,36,579,806,982,1304,1494,1695,1656,1873,2202,1909,gedung
29,36,477,699,1070,1304,1494,1695,1749,1873,2202,1909,gedung
30,36,745,1144,1512,1579,1757,1888,1946,1959,2333,2204,gedung
27,37,549,732,935,1300,1776,1914,1522,1873,1951,1878,gedung
28,37,603,822,893,1304,1494,1695,1566,1873,2202,1909,gedung
29,37,617,788,1104,1304,1494,1695,1614,1873,2202,1909,gedung
30,37,1384,1496,1838,1579,1757,1888,2362,1959,2333,2204,gedung
27,38,666,835,944,945,1648,1633,1286,1873,1514,1332,gedung
28,38,810,999,1192,1274,1315,1480,1526,1873,2201,1840,gedung
29,38,858,1236,1390,1274,1315,1480,1636,1873,2201,1840,gedung
30,38,1334,1476,1422,1738,2009,1912,1978,1959,2666,2738,gedung
31,38,896,1096,1508,1738,2009,1912,2111,1959,2666,2738,gedung
28,39,1410,1412,1444,1274,1315,1480,1955,1873,2201,1840,gedung
29,39,2042,2016,2504,1274,1315,1480,2667,1873,2201,1840,gedung
30,39,908,1248,1618,1738,2009,1912,2123,1959,2666,2738,gedung
31,39,543,770,847,1738,2009,1912,1961,1959,2666,2738,gedung
28,40,969,1194,1282,1612,1554,1592,1442,1873,2281,2245,gedung
29,40,1702,1900,1936,1612,1554,1592,2148,1873,2281,2245,gedung
30,40,1084,1312,1240,1750,2011,1912,2178,1959,2637,2831,gedung
31,40,521,746,702,1750,2011,1912,1962,1959,2637,2831,gedung
32,40,656,870,856,1203,1597,1720,1932,1959,2351,1985,gedung
28,41,935,1110,1236,1612,1554,1592,1719,1873,2281,2245,gedung
29,41,771,1004,1326,1612,1554,1592,1643,1873,2281,2245,gedung
30,41,838,1096,1360,1750,2011,1912,1831,1959,2637,2831,gedung
31,41,764,923,974,1750,2011,1912,1708,1959,2637,2831,gedung
32,41,733,899,988,1203,1597,1720,1542,1959,2351,1985,gedung
29,42,1108,1436,1744,2385,2419,2295,2150,1745,3389,3033,gedung
30,42,865,1116,1452,1928,2096,2252,1980,1887,2961,3025,gedung
31,42,724,952,1162,1928,2096,2252,1692,1887,2961,3025,gedung
32,42,614,791,1068,1366,1535,1587,1454,1887,2539,2488,gedung
33,42,750,958,1328,1366,1535,1587,1687,1887,2539,2488,gedung
29,43,1574,1800,2202,2385,2419,2295,2822,1745,3389,3033,gedung
30,43,641,881,1264,1928,2096,2252,1665,1887,2961,3025,gedung
31,43,628,899,1312,1928,2096,2252,1679,1887,2961,3025,gedung
32,43,648,865,1184,1366,1535,1587,1557,1887,2539,2488,gedung
33,43,763,1010,1352,1366,1535,1587,1686,1887,2539,2488,gedung
29,44,1606,2114,2284,2561,2599,2215,2758,1745,3173,3361,gedung
30,44,774,1010,1242,1812,2058,2237,1642,1887,2891,3104,gedung
31,44,693,894,1344,1812,2058,2237,1669,1887,2891,3104,gedung
32,44,790,1012,1466,1467,1536,1591,1791,1887,2678,2626,gedung
33,44,728,1015,1440,1467,1536,1591,1755,1887,2678,2626,gedung
34,44,648,885,1312,1546,1707,1792,1730,1887,2624,2784,gedung
30,45,697,937,1236,1812,2058,2237,1664,1887,2891,3104,gedung
31,45,613,852,1266,1812,2058,2237,1610,1887,2891,3104,gedung
32,45,795,1038,1400,1467,1536,1591,1792,1887,2678,2626,gedung
33,45,814,1080,1450,1467,1536,1591,1854,1887,2678,2626,gedung
34,45,726,968,1342,1546,1707,1792,1810,1887,2624,2784,gedung
30,46,642,866,1282,1529,1658,1837,1734,1887,2528,2487,gedung
31,46,625,868,1390,1529,1658,1837,1709,1887,2528,2487,gedung
32,46,693,936,1318,1584,1672,1690,1680,1887,2448,2452,gedung
33,46,692,965,1376,1584,1672,1690,1692,1887,2448,2452,gedung
34,46,623,894,1332,1522,1636,1722,1631,1887,2470,2450,gedung
35,46,680,958,1458,1522,1636,1722,1782,1887,2470,2450,gedung
31,47,864,1080,1418,1529,1658,1837,1724,1887,2528,2487,gedung
32,47,911,1110,1394,1584,1672,1690,1756,1887,2448,2452,gedung
33,47,883,1130,1454,1584,1672,1690,1804,1887,2448,2452,gedung
34,47,648,861,1282,1522,1636,1722,1620,1887,2470,2450,gedung
35,47,638,875,1394,1522,1636,1722,1676,1887,2470,2450,gedung
31,48,990,1230,1350,1321,1640,1726,1572,2280,2148,1943,gedung
32,48,990,1214,1366,1503,1497,1543,1614,2280,2403,2158,gedung
33,48,1044,1238,1536,1503,1497,1543,1762,2280,2403,2158,gedung
34,48,898,1142,1408,2067,2131,2101,1734,2280,3026,3364,gedung
35,48,980,1164,1426,2067,2131,2101,1600,2280,3026,3364,gedung
36,48,883,1104,1262,1768,1867,1849,1558,2061,2770,2530,gedung
31,49,1000,1196,1330,1321,1640,1726,1471,2280,2148,1943,gedung
32,49,998,1256,1300,1503,1497,1543,1563,2280,2403,2158,gedung
33,49,1398,1596,1932,1503,1497,1543,2055,2280,2403,2158,gedung
35,49,1698,1798,2024,2067,2131,2101,2224,2280,3026,3364,gedung
36,49,1122,1306,1464,1768,1867,1849,1882,2061,2770,2530,gedung
32,50,1498,1684,1932,2761,2751,2561,2072,2280,3951,4337,gedung
35,50,2822,3304,3382,3488,3418,3551,3284,2280,4775,5433,gedung
36,50,1726,2098,1906,2897,2858,2692,2417,2061,3730,4027,gedung
37,50,532,756,830,2897,2858,2692,1505,2061,3730,4027,gedung
36,51,1762,1980,1962,2897,2858,2692,2348,2061,3730,4027,gedung
37,51,619,841,1094,2897,2858,2692,1567,2061,3730,4027,gedung
31,52,3596,3802,3914,3025,3111,3223,3767,2280,4558,4587,gedung
37,52,550,776,1116,2029,2328,2462,1473,2061,3230,3178,gedung
38,52,428,552,508,915,1123,1245,1038,2061,1690,1571,gedung
30,53,3012,3296,3396,3025,3111,3223,3328,2280,4558,4587,gedung
31,53,2222,2518,2504,3025,3111,3223,2624,2280,4558,4587,gedung
32,53,1576,1862,1954,3097,3081,3172,2331,2280,4308,4803,gedung
35,53,1770,1952,1948,2591,2934,2632,3082,2280,3829,4191,gedung
36,53,1046,1246,1480,2029,2328,2462,1895,2061,3230,3178,gedung
37,53,505,746,1062,2029,2328,2462,1465,2061,3230,3178,gedung
38,53,374,512,394,915,1123,1245,938,2061,1690,1571,gedung
29,54,2780,3120,3144,3135,2977,3033,3011,1781,3901,4485,gedung
30,54,1714,2026,1806,2604,2724,2778,2432,2130,3757,3943,gedung
31,54,768,1084,1144,2604,2724,2778,1790,2130,3757,3943,gedung
32,54,961,1132,1294,1668,1968,1791,1824,2130,2994,3084,gedung
33,54,936,1192,1294,1668,1968,1791,1887,2130,2994,3084,gedung
34,54,592,874,777,1204,1585,1885,1822,2130,2446,2299,gedung
35,54,786,1042,871,1204,1585,1885,2038,2130,2446,2299,gedung
36,54,814,968,1126,1183,1597,1711,1601,1786,2146,1864,gedung
37,54,486,676,781,1183,1597,1711,1438,1786,2146,1864,gedung
38,54,276,344,346,748,1068,1198,871,1786,1383,1287,gedung
39,54,256,352,349,748,1068,1198,980,1786,1383,1287,gedung
28,55,3098,3218,3188,3135,2977,3033,3067,1781,3901,4485,gedung
29,55,2420,2714,2930,3135,2977,3033,2863,1781,3901,4485,gedung
30,55,1026,1304,1112,2604,2724,2778,1967,2130,3757,3943,gedung
33,55,1216,1372,1510,1668,1968,1791,1881,2130,2994,3084,gedung
34,55,594,796,866,1204,1585,1885,1626,2130,2446,2299,gedung
35,55,522,690,664,1204,1585,1885,1575,2130,2446,2299,gedung
36,55,551,751,817,1183,1597,1711,1598,1786,2146,1864,gedung
